Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	375500	751	0.0316011	211000	569000	60000	156000
0	5	0	333326	803	0.0337892	211000	569000	58000	156000
0	10	0	333252	808	0.0339996	211000	569000	58000	156000
0	15	0	337390	814	0.0342521	211000	569000	58000	156000
0	20	0	342850	818	0.0344204	211000	569000	58000	169000
0	25	0	344478	820	0.0345045	211000	569000	58000	170000
0	30	0	346212	820	0.0345045	211000	569000	58000	170000
1	0	0	375500	751	0.0316011	211000	569000	60000	156000
1	5	0	334833	801	0.033705	211000	569000	58000	156000
1	10	0	334406	807	0.0339575	211000	569000	58000	169000
1	15	0	337237	812	0.0341679	211000	569000	58000	169000
1	20	0	340386	820	0.0345045	211000	569000	58000	170000
1	25	0	343309	824	0.0346728	211000	569000	58000	170000
1	30	0	346702	828	0.0348412	211000	569000	58000	170000
2	0	0	375500	751	0.0316011	211000	569000	60000	156000
2	5	0	332779	803	0.0337892	211000	569000	58000	156000
2	10	0	332929	804	0.0338313	211000	569000	58000	156000
2	15	0	338044	816	0.0343362	211000	569000	58000	170000
2	20	0	341394	822	0.0345887	211000	569000	58000	170000
2	25	0	343182	827	0.0347991	211000	569000	58000	170000
2	30	0	347043	832	0.0350095	211000	569000	58000	170000
3	0	0	375500	751	0.0316011	211000	569000	60000	156000
3	5	0	331666	800	0.0336629	211000	569000	58000	156000
3	10	0	334562	801	0.033705	211000	569000	58000	156000
3	15	0	339241	809	0.0340417	211000	569000	58000	156000
3	20	0	340468	809	0.0340417	211000	569000	58000	156000
3	25	0	342981	814	0.0342521	211000	569000	58000	169000
3	30	0	343170	820	0.0345045	211000	569000	58000	170000
4	0	0	375500	751	0.0316011	211000	569000	60000	156000
4	5	0	333158	802	0.0337471	211000	569000	58000	156000
4	10	0	332881	810	0.0340837	211000	569000	58000	156000
4	15	0	336687	813	0.03421	211000	569000	58000	156000
4	20	0	340912	820	0.0345045	211000	569000	58000	170000
4	25	0	344439	823	0.0346308	211000	569000	58000	170000
4	30	0	347197	827	0.0347991	211000	569000	58000	170000
